(24, 24)
(28, 20)
(9, 9)
(5, 5)
(23, 20)
(32, 26)
(23, 22)
(38, 34)
(22, 18)
(30, 27)
(37, 34)
(35, 34)
(32, 30)
(8, 8)
(32, 27)
(17, 16)
(10, 10)
(8, 8)
(18, 18)
(22, 20)
(25, 22)
(10, 10)
(6, 3)
(20, 20)
(30, 28)
(16, 16)
(40, 33)
(35, 33)
(34, 27)
(31, 29)
(11, 8)
(31, 25)
(25, 25)
(21, 17)
(10, 9)
(32, 27)
(21, 20)
(24, 22)
(13, 12)
(20, 18)
(6, 5)
(21, 16)
(9, 9)
(7, 7)
(25, 19)
(31, 30)
(4, 4)
(20, 19)
(33, 29)
(16, 15)
(21, 21)
(8, 8)
(26, 21)
(21, 18)
(24, 21)
(5, 5)
(35, 27)
(37, 27)
(3, 3)
(27, 19)
(32, 30)
(7, 7)
(7, 7)
(6, 6)
(22, 15)
(18, 17)
(15, 15)
(16, 16)
(33, 29)
(23, 21)
(20, 19)
(17, 17)
(18, 18)
(18, 17)
(26, 22)
(35, 32)
(9, 9)
(13, 11)
(6, 6)
(8, 7)
(39, 33)
(5, 5)
(8, 8)
(6, 5)
(31, 30)
(29, 27)
(14, 10)
(24, 23)
(42, 34)
(17, 16)
(13, 13)
(26, 20)
(38, 31)
(26, 23)
(24, 24)
(7, 6)
(17, 17)
(14, 13)
(33, 26)
(30, 27)
(35, 30)
(37, 34)
(4, 4)
(3, 3)
(32, 26)
(33, 33)
(26, 21)
(25, 20)
(35, 30)
(19, 12)
(13, 10)
(14, 13)
(21, 19)
(5, 5)
(5, 5)
(9, 8)
(6, 6)
(30, 25)
(21, 19)
(35, 31)
(7, 7)
(16, 14)
(6, 5)
(12, 11)
(31, 30)
(7, 7)
(19, 17)
(14, 13)
(19, 16)
(13, 12)
(19, 19)
(31, 29)
(13, 12)
(30, 26)
(15, 12)
(41, 32)
(28, 26)
(38, 32)
(30, 26)
(36, 27)
(12, 12)
(14, 13)
(11, 8)
(29, 26)
(21, 17)
(34, 32)
(6, 6)
(25, 23)
(22, 19)
(6, 5)
(13, 13)
(18, 17)
(14, 11)
(27, 25)
(25, 24)
(23, 16)
(14, 14)
(19, 15)
(20, 16)
(26, 22)
(10, 10)
(6, 6)
(12, 8)
(13, 11)
(28, 27)
(25, 21)
(31, 28)
(31, 30)
(36, 29)
(39, 34)
(33, 32)
(32, 30)
(33, 31)
(17, 14)
(31, 28)
(6, 5)
(33, 28)
(28, 21)
(38, 32)
(36, 34)
(5, 5)
(10, 10)
(31, 28)
(29, 28)
(36, 32)
(10, 10)
(16, 15)
(9, 8)
(36, 28)
(12, 12)
(20, 19)
(32, 27)
(26, 23)
(9, 9)
(11, 10)
(12, 10)
(9, 6)
(35, 32)
(31, 26)
(24, 23)
(35, 28)
(30, 29)
(34, 28)
(40, 34)
(12, 10)
(40, 33)
(10, 10)
(25, 20)
(26, 23)
(28, 28)
(15, 13)
(6, 6)
(27, 24)
(4, 4)
(3, 3)
(5, 4)
(24, 19)
(33, 28)
(32, 29)
(25, 22)
(39, 34)
(8, 7)
(32, 29)
(23, 19)
(3, 3)
(3, 3)
(32, 26)
(12, 12)
(20, 20)
(37, 32)
(26, 21)
(28, 26)
(37, 32)
(19, 13)
(13, 12)
(11, 11)
(41, 34)
(11, 11)
(26, 24)
(24, 17)
(31, 30)
(17, 17)
(5, 4)
(12, 12)
(28, 23)
(41, 34)
(30, 29)
(12, 12)
(9, 5)
(14, 11)
(25, 24)
(13, 12)
(18, 16)
(26, 21)
(29, 29)
(27, 26)
(8, 8)
(5, 5)
(6, 5)
(5, 4)
(14, 14)
(27, 25)
(32, 26)
(22, 21)
(7, 6)
(23, 21)
(40, 34)
(8, 8)
(12, 11)
(4, 4)
(6, 6)
(5, 4)
(15, 13)
(17, 14)
(11, 11)
(12, 11)
(6, 6)
(26, 20)
(7, 7)
(20, 15)
(24, 19)
(19, 18)
(10, 8)
(6, 6)
(29, 26)
(11, 10)
(34, 33)
(3, 3)
(18, 15)
(48, 29)
(14, 13)
(39, 34)
(9, 9)
(29, 24)
(28, 22)
(18, 14)
(21, 15)
(39, 32)
(4, 4)
(13, 11)
